"Action","Phase","UTC","Note"
"PRE","stage","2026-08-18T16:01:16.4425738+00:00","No file precondition. Scenario begins from clean revert to baseline_pre_scenarios with dfanalyst signed in and C:\DISS_TESTDATA\scenario6_log.ps1 loaded. Timestamp anchored to A01 start."
"A01","start","2026-08-18T16:01:16.4425738+00:00","sign out via Start menu"
"A01","end","2026-08-18T16:03:04.5888220+00:00","logged retrospectively in session 2; session 1 shell was terminated by the sign-out. Exact end is at Security 4634 in event log."
"A02","start","2026-08-18T16:03:13.9407560+00:00","sign in as dfanalyst (retrospective)"
"A02","end","2026-08-18T16:03:19.2614473+00:00","desktop loaded"
"A03","start","2026-08-18T16:03:58.4140382+00:00","press Win+L"
"A03","end","2026-08-18T16:04:10.4977752+00:00","workstation locked"
"A04","start","2026-08-18T16:06:11.4983459+00:00","waited more than 15 s while locked (retrospective marker; exact locked span is A03 end to A05 start)"
"A04","end","2026-08-18T16:06:19.7487530+00:00",""
"A05","start","2026-08-18T16:06:25.7417692+00:00","unlock with password (retrospective)"
"A05","end","2026-08-18T16:06:31.2554635+00:00","desktop restored"
"A06","start","2026-08-18T16:06:37.5681022+00:00","sign out again via Start menu"
"A06","end","2026-08-18T16:07:48.0474197+00:00","logged retrospectively in session 3; session 2 shell was terminated by the sign-out. Exact end is at Security 4634 in event log."
"A07","start","2026-08-18T16:07:53.2762345+00:00","sign in as dfanalyst (retrospective)"
"A07","end","2026-08-18T16:07:57.3376702+00:00","desktop loaded"
