"Action","Phase","UTC","Note"
"A01","start","2026-08-16T08:58:59.4033339+00:00","Open Edge"
"A01","end","2026-08-16T08:59:41.3408270+00:00",""
"A02","start","2026-08-16T09:00:13.7821730+00:00","Download Chrome"
"A02","end","2026-08-16T09:00:50.7262753+00:00",""
"A03","start","2026-08-16T09:01:04.9746597+00:00","Download WinRAR"
"A03","end","2026-08-16T09:01:40.7449125+00:00",""
"A04","start","2026-08-16T09:01:54.1119760+00:00","Download VLC"
"A04","end","2026-08-16T09:02:53.4331131+00:00",""
"A05","start","2026-08-16T09:03:16.4195277+00:00","Download Adobe Reader"
"A05","end","2026-08-16T09:03:40.9418651+00:00",""
"A06","start","2026-08-16T09:03:59.5274415+00:00","Download Zoom"
"A06","end","2026-08-16T09:05:04.7044270+00:00",""
"A07","start","2026-08-16T09:05:30.3951715+00:00","Download Notepad++"
"A07","end","2026-08-16T09:06:06.1802774+00:00",""
"A08","start","2026-08-16T09:06:40.1540236+00:00","Download Close Edge"
"A08","end","2026-08-16T09:06:51.5894190+00:00",""
"A09","start","2026-08-16T09:07:18.2189427+00:00","Open Downloads"
"A09","end","2026-08-16T09:07:34.3116590+00:00",""
"A10","start","2026-08-16T09:07:54.3956577+00:00","Install Chrome"
"A10","end","2026-08-16T09:09:20.1974816+00:00",""
"A11","start","2026-08-16T09:09:44.3129259+00:00","Install WinRAR"
"A11","end","2026-08-16T09:10:03.7232064+00:00",""
"A12","start","2026-08-16T09:10:25.3472610+00:00","Install VLC"
"A12","end","2026-08-16T09:11:13.3732424+00:00",""
"A13","start","2026-08-16T09:11:33.2293594+00:00","Install Adobe Reader"
"A13","end","2026-08-16T09:17:18.5298004+00:00",""
"A14","start","2026-08-16T09:17:42.2585285+00:00","Install Zoom"
"A14","end","2026-08-16T09:18:26.7579035+00:00",""
"A15","start","2026-08-16T09:18:45.4184013+00:00","Install Notepad++"
"A15","end","2026-08-16T09:19:19.5501357+00:00",""
