"Action","Phase","UTC","Note"
"PRE","anchor","2026-08-20T09:03:00+00:00","Revert to scenario1_post, sign in as dfanalyst, 60s settle. NAT enabled. Logger loaded."
"A01","start","2026-08-20T09:03:38.9508369+00:00","Launch chrome from Start"
"A01","end","2026-08-20T09:04:00.2928116+00:00",""
"A02","start","2026-08-20T09:04:39.0965454+00:00","Navigate to UoW website"
"A02","end","2026-08-20T09:05:26.0291188+00:00",""
"A03","start","2026-08-20T09:06:05.2543776+00:00","Navigate to bbc & Open first headline"
"A03","end","2026-08-20T09:06:55.7464559+00:00",""
"A04","start","2026-08-20T09:08:06.9725021+00:00","Open digital forensics in wikipedia & scroll"
"A04","end","2026-08-20T09:09:33.6047258+00:00",""
"A05","start","2026-08-20T09:11:32.4760836+00:00","Download a sample pdf from File Examples"
"A05","end","2026-08-20T09:12:45.0613492+00:00",""
"A06","start","2026-08-20T09:12:58.1006619+00:00","Close Chrome"
"A06","end","2026-08-20T09:13:08.8947172+00:00",""
"A07","start","2026-08-20T09:13:40.0627768+00:00","Open Downloads using File Explorer"
"A07","end","2026-08-20T09:13:58.3102803+00:00",""
"A08","start","2026-08-20T09:14:53.2520509+00:00","Close File Explorer"
"A08","end","2026-08-20T09:15:02.0637490+00:00",""
