"Action","Phase","UTC","Note"
"A01","start","2026-08-18T07:20:32.2498331+00:00","Open File Explorer"
"A01","end","2026-08-18T07:20:52.8260083+00:00",""
"A02","start","2026-08-18T07:21:32.4661894+00:00","Navigate to C:\DISS_TESTDATA\scenario3_nav"
"A02","end","2026-08-18T07:21:48.2794905+00:00",""
"A03","start","2026-08-18T07:22:48.8216265+00:00","Double click level1_a"
"A03","end","2026-08-18T07:23:01.4267588+00:00",""
"A04","start","2026-08-18T07:23:20.4930525+00:00","Double click level2_a"
"A04","end","2026-08-18T07:23:33.6090316+00:00",""
"A05","start","2026-08-18T07:23:49.2029690+00:00","Double click level3_a"
"A05","end","2026-08-18T07:24:04.1414477+00:00",""
"A06","start","2026-08-18T07:24:18.7615493+00:00","Double click level4_a"
"A06","end","2026-08-18T07:24:37.2755628+00:00",""
"A07","start","2026-08-18T07:24:52.9573385+00:00","Double click level5_a"
"A07","end","2026-08-18T07:25:09.9162370+00:00",""
"A08","start","2026-08-18T07:25:24.8416827+00:00","Close Explorer"
"A08","end","2026-08-18T07:25:37.8058899+00:00",""
