"Action","Phase","UTC","Note"
"A01","start","2026-08-17T18:29:49.1777234+00:00","Iter 1 - launch notepad.exe"
"A01","end","2026-08-17T18:30:33.0938169+00:00","Iter 1"
"A02","start","2026-08-17T18:31:04.7225649+00:00","Iter 1 - launch calc.exe"
"A02","end","2026-08-17T18:31:45.2024379+00:00","Iter 1"
"A03","start","2026-08-17T18:32:04.4030101+00:00","Iter 1 - launch chrome.exe"
"A03","end","2026-08-17T18:33:09.1857753+00:00","Iter 1"
"A04","start","2026-08-17T18:34:14.6204594+00:00","Iter 1 - launch winrar.exe"
"A04","end","2026-08-17T18:34:56.3893021+00:00","Iter 1"
"A05","start","2026-08-17T18:35:36.5951694+00:00","Iter 1 - launch vlc.exe"
"A05","end","2026-08-17T18:36:48.1358539+00:00","Iter 1"
"A06","start","2026-08-17T18:37:22.9443129+00:00","Iter 1 - launch notepad++.exe"
"A06","end","2026-08-17T18:38:29.5511548+00:00","Iter 1"
"A01","start","2026-08-17T18:39:53.8103100+00:00","Iter 2 - launch notepad.exe"
"A01","end","2026-08-17T18:41:17.2682232+00:00","Iter 2"
"A02","start","2026-08-17T18:42:07.4629662+00:00","Iter 2 - launch calc.exe"
"A02","end","2026-08-17T18:43:32.0363790+00:00","Iter 2"
"A03","start","2026-08-17T18:44:01.6092203+00:00","Iter 2 - launch chrome.exe"
"A03","end","2026-08-17T18:44:44.5670525+00:00","Iter 2"
"A04","start","2026-08-17T18:45:18.1439736+00:00","Iter 2 - launch winrar.exe"
"A04","end","2026-08-17T18:46:10.5444002+00:00","Iter 2"
"A05","start","2026-08-17T18:46:36.5960948+00:00","Iter 2 - launch vlc.exe"
"A05","end","2026-08-17T18:47:33.0180341+00:00","Iter 2"
"A06","start","2026-08-17T18:47:58.0501524+00:00","Iter 2 - launch notepad++.exe"
"A06","end","2026-08-17T18:48:46.0748833+00:00","Iter 2"
"A01","start","2026-08-17T18:49:24.5375847+00:00","Iter 3 - launch notepad.exe"
"A01","end","2026-08-17T18:50:10.9622410+00:00","Iter 3"
"A02","start","2026-08-17T18:50:31.7721332+00:00","Iter 3 - launch calc.exe"
"A02","end","2026-08-17T18:51:15.7449713+00:00","Iter 3"
"A03","start","2026-08-17T18:51:37.0617019+00:00","Iter 3 - launch chrome.exe"
"A03","end","2026-08-17T18:52:23.9539301+00:00","Iter 3"
"A04","start","2026-08-17T18:52:52.0921476+00:00","Iter 3 - launch winrar.exe"
"A04","end","2026-08-17T18:53:48.5170544+00:00","Iter 3"
"A05","start","2026-08-17T18:54:12.9288188+00:00","Iter 3 - launch vlc.exe"
"A05","end","2026-08-17T18:54:58.7541132+00:00","Iter 3"
"A06","start","2026-08-17T18:55:19.0676523+00:00","Iter 3 - launch notepad++.exe"
"A06","end","2026-08-17T18:56:16.1809529+00:00","Iter 3"
