RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1254,1254,2026-08-23 00:12:59.6856001,15,Info,SecurityCenter,Application,12156,0,disstestbedvm,22,,,,,,,,,,,,False,.\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows Defender, SECURITY_PRODUCT_STATE_ON"",""Binary"":""""}}"
1257,1257,2026-08-23 00:16:08.4602168,16384,Info,Microsoft-Windows-Security-SPP,Application,8520,0,disstestbedvm,23,,,,,,,,,,,,False,.\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""2026-10-12T10:04:08Z, RulesEngine"",""Binary"":""""}}"
1258,1258,2026-08-23 00:16:21.3275492,16394,Info,Microsoft-Windows-Security-SPP,Application,1128,0,disstestbedvm,23,,,,,,,,,,,,False,.\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
1259,1259,2026-08-23 00:16:34.9463130,0,Info,edgeupdate,Application,1776,0,disstestbedvm,23,,,,,,,,,,,,False,.\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Service stopped"",""Binary"":""""}}"
35160,35160,2026-08-23 00:12:41.0896301,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,404,disstestbedvm,422,,A new process has been created,WORKGROUP\DISSTESTBEDVM$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0xD1C,Parent PID: 0xB74,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\wbem\WMIADAP.exe wmiadap.exe /F /T /R,False,.\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xB74""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\wbem\\WMIADAP.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0xD1C""},{""@Name"":""CommandLine"",""#text"":""wmiadap.exe /F /T /R""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
35161,35161,2026-08-23 00:12:41.1271788,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,160,disstestbedvm,422,,A process has exited,WORKGROUP\DISSTESTBEDVM$,,,PID: 0xB74,,,,,C:\Windows\System32\wbem\WMIADAP.exe,False,.\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0xB74""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\wbem\\WMIADAP.exe""}]}}"
35162,35162,2026-08-23 00:12:49.1181787,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6324,disstestbedvm,422,,A process has exited,disstestbedvm\dfanalyst,,,PID: 0x29AC,,,,,C:\Windows\System32\RuntimeBroker.exe,False,.\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x1FC5A""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x29AC""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\RuntimeBroker.exe""}]}}"
35163,35163,2026-08-23 00:12:49.2335026,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6324,disstestbedvm,422,,A new process has been created,disstestbedvm\dfanalyst,,Parent process: C:\Windows\explorer.exe,PID: 0x15A0,Parent PID: 0x730,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: -\-,,"C:\Program Files\Notepad++\notepad++.exe ""C:\Program Files\Notepad++\notepad++.exe"" ",False,.\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x1FC5A""},{""@Name"":""NewProcessId"",""#text"":""0x730""},{""@Name"":""NewProcessName"",""#text"":""C:\\Program Files\\Notepad++\\notepad++.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x15A0""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Program Files\\Notepad++\\notepad++.exe\"" ""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\explorer.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
35164,35164,2026-08-23 00:12:49.5724750,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,160,disstestbedvm,422,,A process has exited,disstestbedvm\dfanalyst,,,PID: 0x82C,,,,,C:\Windows\System32\RuntimeBroker.exe,False,.\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x1FC5A""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x82C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\RuntimeBroker.exe""}]}}"
35165,35165,2026-08-23 00:12:49.8604717,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,160,disstestbedvm,422,,A new process has been created,disstestbedvm\dfanalyst,,Parent process: C:\Program Files\Notepad++\notepad++.exe,PID: 0x730,Parent PID: 0x1AA8,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: -\-,,"C:\Program Files\Notepad++\updater\GUP.exe ""C:\Program Files\Notepad++\updater\gup.exe"" -v8.962 -px64 -infoUrl=https://notepad-plus-plus.org/update/getDownloadUrl.php -forceDomain=https://github.com/notepad-plus-plus/notepad-plus-plus/ -chkCert4InfoXML -chkCertKeyId4XML=CC0D94922CDA3A18A7D286138525AF9C3942E9E7 -chkCertSig=yes -chkCertRevoc -chkCertTrustChain -chkCertName=NOTEPAD++ -chkCertSubject=""C=FR, S=Île-de-France, L=Paris, O={QUOTE}NOTEPAD++{QUOTE}, CN={QUOTE}NOTEPAD++{QUOTE}, E=don.h@free.fr"" -chkCertKeyId=CC0D94922CDA3A18A7D286138525AF9C3942E9E7 -errLogPath=""%LOCALAPPDATA%\Notepad++\log\securityError.log""",False,.\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x1FC5A""},{""@Name"":""NewProcessId"",""#text"":""0x1AA8""},{""@Name"":""NewProcessName"",""#text"":""C:\\Program Files\\Notepad++\\updater\\GUP.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x730""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Program Files\\Notepad++\\updater\\gup.exe\"" -v8.962 -px64 -infoUrl=https://notepad-plus-plus.org/update/getDownloadUrl.php -forceDomain=https://github.com/notepad-plus-plus/notepad-plus-plus/ -chkCert4InfoXML -chkCertKeyId4XML=CC0D94922CDA3A18A7D286138525AF9C3942E9E7 -chkCertSig=yes -chkCertRevoc -chkCertTrustChain -chkCertName=NOTEPAD++ -chkCertSubject=\""C=FR, S=Île-de-France, L=Paris, O={QUOTE}NOTEPAD++{QUOTE}, CN={QUOTE}NOTEPAD++{QUOTE}, E=don.h@free.fr\"" -chkCertKeyId=CC0D94922CDA3A18A7D286138525AF9C3942E9E7 -errLogPath=\""%LOCALAPPDATA%\\Notepad++\\log\\securityError.log\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Program Files\\Notepad++\\notepad++.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
